Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-20-2020  5:10PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  top.ngd
output file: top_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,disp_seg_o<4>,O,I/O/GTS2,OUTPUT,LVCMOS18,2,,FAST,,,,
P3,disp_seg_o<0>,O,I/O/GTS3,OUTPUT,LVCMOS18,2,,FAST,,,,
P4,disp_dig_o<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P5,disp_dig_o<2>,O,I/O/GTS0,OUTPUT,LVCMOS18,2,,FAST,,,,
P6,disp_dp,O,I/O/GTS1,OUTPUT,LVCMOS18,2,,FAST,,,,
P7,disp_dig_o<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,BTN0,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P10,SW0_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P11,SW1_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P12,SW2_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P13,SW3_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P14,SW4_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P15,SW5_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P16,SW6_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P17,SW7_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P18,SW8_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,KPR,,I/O,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P25,KPR,,I/O,,,1,,,,,,,
P26,KPR,,I/O,,,1,,,,,,,
P27,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,KPR,,I/O/GCK0,,,1,,,,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,clk_i,GCK,I/O/GCK1,,LVCMOS18,1,,FAST,,,,
P33,SW9_CPLD,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P34,KPR,,I/O,,,1,,,,,,,
P35,KPR,,I/O/CDR,,,1,,,,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,KPR,,I/O/GCK2,,,1,,,,,,,
P39,KPR,,I/O/DGE0,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,KPR,,I/O,,,1,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,1,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,KPR,,I/O,,,1,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,KPR,,I/O,,,1,,,,,,,
P69,KPR,,I/O,,,1,,,,,,,
P70,KPR,,I/O,,,1,,,,,,,
P71,KPR,,I/O,,,1,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P74,KPR,,I/O,,,1,,,,,,,
P75,KPR,,I/O,,,1,,,,,,,
P76,KPR,,I/O,,,1,,,,,,,
P77,KPR,,I/O,,,1,,,,,,,
P78,KPR,,I/O,,,1,,,,,,,
P79,KPR,,I/O,,,1,,,,,,,
P80,KPR,,I/O,,,1,,,,,,,
P81,KPR,,I/O,,,1,,,,,,,
P82,KPR,,I/O,,,1,,,,,,,
P83,KPR,,I/O,,,1,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,1,,,,,,,
P86,KPR,,I/O,,,1,,,,,,,
P87,KPR,,I/O,,,1,,,,,,,
P88,KPR,,I/O,,,1,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,1,,,,,,,
P92,KPR,,I/O,,,1,,,,,,,
P93,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P94,KPR,,I/O,,,2,,,,,,,
P95,KPR,,I/O,,,2,,,,,,,
P96,KPR,,I/O,,,2,,,,,,,
P97,KPR,,I/O,,,2,,,,,,,
P98,KPR,,I/O,,,2,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,KPR,,I/O,,,2,,,,,,,
P101,KPR,,I/O,,,2,,,,,,,
P102,KPR,,I/O,,,2,,,,,,,
P103,KPR,,I/O,,,2,,,,,,,
P104,KPR,,I/O,,,2,,,,,,,
P105,KPR,,I/O,,,2,,,,,,,
P106,KPR,,I/O,,,2,,,,,,,
P107,KPR,,I/O,,,2,,,,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P110,KPR,,I/O,,,2,,,,,,,
P111,KPR,,I/O,,,2,,,,,,,
P112,KPR,,I/O,,,2,,,,,,,
P113,KPR,,I/O,,,2,,,,,,,
P114,KPR,,I/O,,,2,,,,,,,
P115,KPR,,I/O,,,2,,,,,,,
P116,KPR,,I/O,,,2,,,,,,,
P117,KPR,,I/O,,,2,,,,,,,
P118,KPR,,I/O,,,2,,,,,,,
P119,KPR,,I/O,,,2,,,,,,,
P120,KPR,,I/O,,,2,,,,,,,
P121,KPR,,I/O,,,2,,,,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,KPR,,I/O/DGE1,,,2,,,,,,,
P125,KPR,,I/O,,,2,,,,,,,
P126,KPR,,I/O,,,2,,,,,,,
P127,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P128,KPR,,I/O,,,2,,,,,,,
P129,KPR,,I/O,,,2,,,,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,SW15_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P132,SW14_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P133,SW13_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P134,SW12_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P135,SW11_CPLD,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
